fn,ln,mi,gender,sg,salary,dept,hiredate,termdate
"Madison","WILTON","W","F",1,"$77582","hr","11/22/2015","" 
"James","SMITH","A","M",1,"38136","comp","1/17/2018","" 
"John","JOHNSON","","M",4,"107483","fin","6/2/2017","" 
"Robert","WILLIAMS","W","M",7,"3X429110","comp","11/25/2013","" 
"Michael","BROWN","J","M",7,"3X646818","proj","1/20/2012","" 
"William","JONES","","M",4,"96914","acc","1/16/2011","" 
"David","GARCIA","J","M",3,"69560","I.T.","11/20/2017","" 
"Richard","MILLER","F","M",1,"35590","hr","12/17/2015","" 
"Joseph","DAVIS","G","M",4,"95368","I.T.","12/2/2015","" 
"Thomas","RODRIGUEZ","J","M",3,"67701","pub","10/23/2015","" 
"Charles","MARTINEZ","J","M",1,"43026","comp","5/30/2015","" 
"Christopher","HERNANDEZ","J","M",1,"26918","I.T.","2/3/2016","" 
"Daniel","LOPEZ","W","M",1,"36181","I.T.","12/16/2015","" 
"Matthew","GONZALEZ","","M",5,"130299","I.T.","7/26/2015","" 
"Anthony","WILSON","","M",6,"3X499214","pub","9/18/2006","" 
"Donald","ANDERSON","","M",1,"25074","fin","11/29/2014","" 
"Mark","THOMAS","F","M",5,"130020","proj","11/27/2014","" 
"Paul","TAYLOR","","M",3,"75100","pub","1/4/2015","" 
"Steven","MOORE","J","M",1,"38276","comp","10/16/2017","" 
"Andrew","JACKSON","","M",4,"95296","fin","7/27/2016","" 
"Kenneth","MARTIN","W","M",6,"3X539368","I.T.","2/25/2012","" 
"Joshua","LEE","P","M",3,"82400","I.T.","3/3/2017","" 
"George","PEREZ","G","M",6,"3X408740","fin","12/25/2004","" 
"Kevin","THOMPSON","A","M",5,"137221","pub","7/15/2012","" 
"Brian","WHITE","W","M",7,"3X563377","I.T.","3/8/2003","" 
"Edward","HARRIS","P","M",4,"94212","comp","10/10/2016","" 
"Ronald","SANCHEZ","","M",7,"3X582094","pub","8/15/2002","" 
"Timothy","CLARK","","M",1,"39234","fin","11/20/2018","" 
"Jason","RAMIREZ","A","M",3,"86056","hr","7/22/2017","12/8/2018" 
"Jeffrey","LEWIS","","M",4,"106914","I.T.","2/25/2011","" 
"Ryan","ROBINSON","A","M",3,"93952","pub","10/12/2018","" 
"Jacob","WALKER","","M",3,"81868","pub","8/21/2015","" 
"Gary","YOUNG","G","M",4,"114727","pub","6/24/2013","" 
"Nicholas","ALLEN","","M",7,"3X592812","I.T.","5/19/2006","" 
"Eric","KING","F","M",4,"110700","I.T.","7/12/2013","" 
"Stephen","WRIGHT","W","M",3,"79853","pub","6/3/2015","" 
"Jonathan","SCOTT","W","M",3,"79974","fin","11/27/2014","" 
"Larry","TORRES","G","M",7,"3X596003","I.T.","12/10/2014","" 
"Justin","NGUYEN","G","M",7,"3X675529","comp","2/2/2006","" 
"Scott","HILL","J","M",1,"36752","I.T.","12/5/2014","" 
"Brandon","FLORES","F","M",6,"3X411824","I.T.","4/28/2004","" 
"Frank","GREEN","","M",5,"127560","I.T.","10/29/2009","" 
"Benjamin","ADAMS","","M",2,"67712","comp","3/21/2015","" 
"Gregory","NELSON","W","M",3,"84544","hr","3/27/2015","" 
"Samuel","BAKER","","M",5,"3X482237","hr","11/27/2016","" 
"Raymond","HALL","","M",5,"137470","fin","5/30/2015","" 
"Patrick","RIVERA","","M",7,"3X640812","comp","1/21/2004","" 
"Alexander","CAMPBELL","A","M",2,"64408","acc","12/30/2018","" 
"Jack","MITCHELL","","M",2,"49874","I.T.","7/29/2017","" 
"Dennis","CARTER","","M",7,"3X557152","proj","12/19/2007","3/9/2010" 
"Jerry","ROBERTS","A","M",6,"3X421277","hr","11/15/2002","" 
"Tyler","GOMEZ","","M",1,"22036","acc","5/31/2015","" 
"Aaron","PHILLIPS","P","M",6,"3X419397","acc","11/1/2015","" 
"Jose","EVANS","P","M",1,"25058","I.T.","7/18/2017","" 
"Henry","TURNER","W","M",3,"71377","pub","8/28/2015","" 
"Douglas","DIAZ","","M",7,"3X592051","hr","11/9/2012","" 
"Adam","PARKER","P","M",6,"3X424604","comp","9/11/2015","" 
"Peter","CRUZ","F","M",6,"3X418518","acc","1/28/2012","" 
"Nathan","EDWARDS","G","M",4,"103140","comp","2/7/2015","" 
"Zachary","COLLINS","A","M",2,"55988","pub","3/21/2018","6/28/2018" 
"Walter","REYES","","M",7,"3X639268","pub","11/10/2014","" 
"Kyle","STEWART","F","M",3,"84808","I.T.","7/22/2018","" 
"Harold","MORRIS","A","M",7,"3X572055","acc","7/8/2014","8/24/2014" 
"Carl","MORALES","P","M",2,"66422","hr","4/23/2017","" 
"Jeremy","MURPHY","P","M",4,"90562","hr","6/13/2016","" 
"Keith","COOK","W","M",2,"50170","comp","12/15/2018","" 
"Roger","ROGERS","","M",4,"102289","comp","7/20/2014","" 
"Gerald","GUTIERREZ","","M",2,"58360","acc","12/22/2016","" 
"Ethan","ORTIZ","J","M",5,"139726","proj","7/31/2014","" 
"Arthur","MORGAN","W","M",3,"94040","acc","8/15/2018","" 
"Terry","COOPER","","M",2,"50370","fin","4/11/2016","" 
"Christian","PETERSON","","M",1,"39196","hr","6/27/2016","" 
"Sean","BAILEY","F","M",7,"3X548294","fin","5/7/2014","8/13/2018" 
"Lawrence","REED","","M",4,"109666","I.T.","2/1/2016","" 
"Austin","KELLY","","M",3,"75170","I.T.","9/12/2015","" 
"Joe","HOWARD","A","M",2,"67079","hr","11/21/2016","" 
"Noah","RAMOS","F","M",1,"35210","proj","9/13/2017","" 
"Jesse","KIM","P","M",7,"3X592680","acc","4/30/2007","" 
"Albert","COX","F","M",5,"132203","acc","12/4/2013","" 
"Bryan","WARD","J","M",2,"47707","proj","5/29/2018","" 
"Billy","RICHARDSON","J","M",3,"84120","proj","1/26/2015","" 
"Bruce","WATSON","P","M",4,"100884","pub","12/30/2009","" 
"Willie","BROOKS","","M",6,"3X537518","proj","7/7/2006","" 
"Jordan","CHAVEZ","W","M",1,"25462","hr","6/19/2015","" 
"Dylan","WOOD","W","M",2,"66829","I.T.","9/5/2015","" 
"Alan","JAMES","F","M",1,"34064","pub","11/1/2017","" 
"Ralph","BENNETT","W","M",3,"91968","hr","1/21/2017","" 
"Gabriel","GRAY","","M",2,"44651","pub","11/18/2015","" 
"Roy","MENDOZA","","M",2,"64788","pub","2/2/2015","" 
"Juan","RUIZ","","M",1,"22251","I.T.","12/10/2015","" 
"Wayne","HUGHES","J","M",4,"114492","proj","5/1/2016","" 
"Eugene","PRICE","","M",7,"3X540688","proj","8/10/2004","" 
"Logan","ALVAREZ","G","M",3,"70253","I.T.","11/4/2015","" 
"Randy","CASTILLO","P","M",4,"106662","fin","12/25/2013","" 
"Louis","SANDERS","","M",4,"97165","fin","2/8/2011","" 
"Russell","PATEL","J","M",2,"44919","pub","3/16/2015","" 
"Vincent","MYERS","","M",7,"3X541335","hr","2/4/2014","8/29/2015" 
"Philip","LONG","","M",3,"90337","comp","12/18/2018","8/11/2019" 
"Bobby","ROSS","","M",5,"128444","comp","6/15/2013","" 
"Johnny","FOSTER","A","M",7,"3X517005","fin","12/5/2003","" 
"Bradley","JIMENEZ","G","M",1,"30748","hr","4/6/2017","" 
"Mary","POWELL","W","F",7,"3X568499","comp","9/18/2015","" 
"Patricia","JENKINS","J","F",4,"96648","pub","6/22/2013","" 
"Jennifer","PERRY","G","F",3,"67427","hr","7/11/2016","" 
"Linda","RUSSELL","G","F",4,"94822","I.T.","5/17/2017","" 
"Elizabeth","SULLIVAN","","F",1,"34501","proj","5/27/2018","" 
"Barbara","BELL","F","F",3,"65941","I.T.","2/23/2018","" 
"Susan","COLEMAN","J","F",1,"35784","comp","8/7/2018","" 
"Jessica","BUTLER","G","F",2,"51765","I.T.","5/17/2016","" 
"Sarah","HENDERSON","A","F",4,"100661","fin","3/16/2013","" 
